name,ftype,tier,lat,lon
Akpene Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.6716,9.62892
Akpulu Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.3237,8.5255
Akpuuna Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.56857,9.78376
Alabar Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.80727,9.55651
Aliade General Hospital,General Hospital,Tier3 provincial hospital,7.29649,8.48702
Amahundu Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.87668,9.36278
Anongo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.92006,9.14739
Ansambe Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.60657,9.64
Anuma Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.24013,8.52225
Anwase Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.68755,9.5611
Anyiin Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.491364,9.462083
Atekombo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.0405,9.11212
Aterayange Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.77365,9.58224
Ayilamo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.871219,9.093659
Bako Ute Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.86747,9.1873
Bako-Ningev Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.865352,9.093399
Beagha Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.8041,9.4346
Bom Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.693,9.85078
Cbwer Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.753805,9.488413
Chia Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.61886,9.75126
Daudu Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.914241,8.59247
Div Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.908152,9.224813
