Facility name,Facility type,Ownership,Admin1,Lat,Long
Jibana Sub District Hospital,Sub-District Hospital,MoH,Kilifi,-3.8311,39.6865
Kilifi District Hospital,District Hospital,MoH,Kilifi,-3.63205,39.85722
Malindi District Hospital,District Hospital,MoH,Kilifi,-3.2165,40.1182
Mariakani District Hospital,District Hospital,MoH,Kilifi,-3.8567,39.4939
St Luke's Kaloleni ACK Hospital,Mission Hospital,FBO,Kilifi,-3.812,39.6331
Tawfiq Muslim Hospital,Mission Hospital,FBO,Kilifi,-3.2209,40.1127
Karira Mission Hospital,Mission Hospital,FBO,Kirinyaga,-0.664146,37.3500067
Kerugoya District Hospital,District Hospital,MoH,Kirinyaga,-0.5013,37.2805
Kianyaga Sub-District Hospital,Sub-District Hospital,MoH,Kirinyaga,-0.50418,37.32452
Kimbimbi Sub-District Hospital,Sub-District Hospital,MoH,Kirinyaga,-0.6171,37.3651
Mwea Our Lady of LourdesMission Hospital,Mission Hospital,FBO,Kirinyaga,-0.6614,37.3492
Sagana Sub-District Hospital,Sub-District Hospital,MoH,Kirinyaga,-0.6667,37.2091
Christamarianne Mission Hospital,Mission Hospital,FBO,Kisii,-0.6795,34.7716
Etago Sub-District Hospital,Sub-District Hospital,MoH,Kisii,-0.9024,34.6593
Gesusu Sub-District Hospital,Sub-District Hospital,MoH,Kisii,-0.8736817,34.9091045
Gucha District Hospital,District Hospital,MoH,Kisii,-0.794,34.7255
Ibacho Sub-District Hospital,Sub-District Hospital,MoH,Kisii,-0.8091294,34.905185
Ibeno Sub-District Hospital,Sub-District Hospital,MoH,Kisii,-0.7772,34.8521
Iyabe District Hospital,District Hospital,MoH,Kisii,-0.691,34.6799
Kenyenya District Hospital,District Hospital,MoH,Kisii,-0.8863,34.7289
Keumbu Sub-District Hospital,Sub-District Hospital,MoH,Kisii,-0.7312,34.8467
Kisii Level 5 Hospital,District Hospital,MoH,Kisii,-0.6682,34.7704
Marani District Hospital,District Hospital,MoH,Kisii,-0.5781,34.7989
Masimba Sub-District Hospital,Sub-District Hospital,MoH,Kisii,-0.7810136,34.9461043
Nduru District Hospital,District Hospital,MoH,Kisii,-0.80782,34.62814
Nyacheki Sub-District Hospital,Sub-District Hospital,MoH,Kisii,-0.8907,34.8772
Nyamache District Hospital,District Hospital,MoH,Kisii,-0.8535,34.8281
Tabaka Mission Hospital,Mission Hospital,FBO,Kisii,-0.7445,34.6665
Ahero County Hospital,District Hospital,MoH,Kisumu,-0.1708,34.9231
Chulaimbo Sub-District Hospital,Sub-District Hospital,MoH,Kisumu,-0.0352,34.6373
Gita Sub-County Hospital,Sub-District Hospital,Local authority,Kisumu,-0.025,34.7898
Kisumu District Hospital,District Hospital,MoH,Kisumu,-0.0989,34.7552
Kombewa District Hospital,District Hospital,MoH,Kisumu,-0.1012,34.5171
Lumumba Sub County Hospital,Sub-District Hospital,Local authority,Kisumu,-0.097,34.7653
Maseno Mission Hospital,Mission Hospital,FBO,Kisumu,0.0035,34.6102
Masogo Sub District Hospital,Sub-District Hospital,MoH,Kisumu,-0.09843,35.00522
Miranga Sub District Hospital,Sub-District Hospital,MoH,Kisumu,-0.0765938,34.5443693
Muhoroni Sub-District Hospital,Sub-District Hospital,MoH,Kisumu,-0.1511,35.2055
Nyabondo Mission Hospital,Mission Hospital,FBO,Kisumu,-0.38168,34.97848
Nyahera Sub District Hospital,Sub-District Hospital,MoH,Kisumu,-0.032,34.7119
Nyakach Sub County Hospital,Sub-District Hospital,MoH,Kisumu,-0.3115,34.9366
Nyanza Provincial General Hospital,Provincial General Hospital,MoH,Kisumu,-0.0864,34.7702
Rabuor Sub county Hospital,Sub-District Hospital,MoH,Kisumu,-0.1533,34.8298
St Monica Hospital,Mission Hospital,FBO,Kisumu,-0.0422,34.7697
Victoria Sub District Hospital,Sub-District Hospital,MoH,Kisumu,-0.1088,34.7503
Ikanga Sub-District Hospital,Sub-District Hospital,MoH,Kitui,-1.7020641,38.0628729
Kanyangi Sub-District Hospital,Sub-District Hospital,MoH,Kitui,-1.7537,37.9269
Katulani Sub District Hospital,Sub-District Hospital,MoH,Kitui,-1.4952,37.9437
Kauwi Sub-District Hospital,Sub-District Hospital,MoH,Kitui,-1.2462,37.91488
Kitui District Hospital,District Hospital,MoH,Kitui,-1.3656,38.0119
Kyuso District Hospital,District Hospital,MoH,Kitui,-0.5517,38.218
Migwani Sub-District Hospital,Sub-District Hospital,MoH,Kitui,-1.0971,38.0187
Muthale Mission Hospital,Mission Hospital,FBO,Kitui,-1.1945,37.9995
Mutitu Sub-District Hospital,Sub-District Hospital,MoH,Kitui,-1.2262,38.1898
Mutomo Mission Hospital,Mission Hospital,FBO,Kitui,-1.8472,38.2079
Mwingi District Hospital,District Hospital,MoH,Kitui,-0.9346,38.0608
Nuu Sub-District Hospital,Sub-District Hospital,MoH,Kitui,-1.0599,38.35881
Tseikuru Sub-District Hospital,Sub-District Hospital,MoH,Kitui,-0.31866,38.22111
Kinango District Hospital,District Hospital,MoH,Kwale,-4.1399,39.3132
Kwale District Hospital,District Hospital,MoH,Kwale,-4.1751,39.456
Msambweni District Hospital,District Hospital,MoH,Kwale,-4.4801,39.4708
Doldol Sub District Hospital,Sub-District Hospital,MoH,Laikipia,0.39166,37.16561
Nanyuki District Hospital,District Hospital,MoH,Laikipia,0.0151,37.0789
Nyahururu District Hospital,District Hospital,MoH,Laikipia,0.0380284,36.3595051
Rumuruti District Hospital,District Hospital,MoH,Laikipia,0.0347,36.3638
Faza Hospital,Hospital,MoH,Lamu,-2.05792,41.11122
Lamu District Hospital,District Hospital,MoH,Lamu,-2.2786,40.9068
Mpeketoni Sub-District Hospital,Sub-District Hospital,MoH,Lamu,-2.3886,40.6989
Bishop Kioko Catholic Hospital,Mission Hospital,FBO,Machakos,-1.5239,37.2641
Kangundo District Hospital,District Hospital,MoH,Machakos,-1.2956,37.3454
Kathiani District Hospital,District Hospital,MoH,Machakos,-1.4106,37.3277
Machakos Level 5 Hospital,Provincial General Hospital,MoH,Machakos,-1.5204,37.2665
Masinga Sub-County Hospital,Sub-District Hospital,MoH,Machakos,-0.97736,37.60568
Matuu District Hospital,District Hospital,MoH,Machakos,-1.1483,37.5475
Mwala Subcounty Hospital,Sub-District Hospital,MoH,Machakos,-1.3464,37.4515
Kibwezi Sub County Hospital,Sub-District Hospital,MoH,Makueni,-2.4096,37.9668
Kikoko Mission Hospital,Mission Hospital,FBO,Makueni,-1.8038,37.3953
Kilungu Sub-District Hospital,Sub-District Hospital,MoH,Makueni,-1.7860994,37.3583007
Kisau Sub District Hospital,Sub-District Hospital,MoH,Makueni,-1.625,37.5572
Makindu District Hospital,District Hospital,MoH,Makueni,-2.2813,37.8241
Makueni District Hospital,District Hospital,MoH,Makueni,-1.781,37.627
Matiliku District Hospital,District Hospital,MoH,Makueni,-1.9465,37.535
Mbooni District Hospital,District Hospital,MoH,Makueni,-1.6565,37.4532
Mtitoandei Sub District Hospital,Sub-District Hospital,MoH,Makueni,-2.6717,38.1655
Nunguni Sub-District Hospital,Sub-District Hospital,MoH,Makueni,-1.78343,37.35991
Sikh Temple Hospital,Mission Hospital,FBO,Makueni,-2.2808,37.8205
Sultan Hamud Sub District Hospital,Sub-District Hospital,MoH,Makueni,-2.014,37.3871
Tawa Sub-Distrct Hospital,Sub-District Hospital,MoH,Makueni,-1.5453,37.4657
Banisa Sub County Hospital,Sub-District Hospital,MoH,Mandera,3.9396281,40.3410318
Elwak District Hospital,District Hospital,MoH,Mandera,2.8055,40.9304
Lafey Sub-District Hospital,Sub-District Hospital,MoH,Mandera,3.15093,41.1886
Mandera District Hospital,District Hospital,MoH,Mandera,3.9384,41.8645
Rhamu Sub-District Hospital,Sub-District Hospital,MoH,Mandera,4.0185,41.0636
Takaba District Hospital,District Hospital,MoH,Mandera,3.3928308,40.2257404
Kalacha Hospital,Hospital,MoH,Marsabit,3.12688,37.42475
Laisamis Catholic Hospital,Mission Hospital,FBO,Marsabit,1.70101,38.0251
Marsabit District Hospital,District Hospital,MoH,Marsabit,2.3239,37.9909
Moyale District Hospital,District Hospital,MoH,Marsabit,3.52254,39.05001
Sololo Mission Hospital,Mission Hospital,FBO,Marsabit,3.5652,38.6451
Chaaria Mission Hospital,Mission Hospital,FBO,Meru,-0.0137,37.76961
Consolata Hospital,Mission Hospital,FBO,Meru,-0.0646,37.6637
Cottolengo Mission Hospital,Mission Hospital,FBO,Meru,-0.00245,37.76659
Giaki Sub-District Hospital,Sub-District Hospital,MoH,Meru,0.03021,37.76489
Githongo District Hospital,District Hospital,MoH,Meru,-0.0025,37.5913
Igoji Mission Hospital,Mission Hospital,FBO,Meru,-0.18987,37.67976
Kanyakine District Hospital,District Hospital,MoH,Meru,-0.1291,37.6756
Kibirichia Sub-District Hospital,Sub-District Hospital,MoH,Meru,0.1098149,37.5124275
Kinoro Sub-District Hospital,Sub-District Hospital,MoH,Meru,-0.17948,37.62503
Maua Methodist Hospital,Mission Hospital,FBO,Meru,0.231,37.9419
Mbeu Sub-District Hospital,Sub-District Hospital,MoH,Meru,0.058,37.8211
Meru District Hospital,District Hospital,MoH,Meru,0.0512,37.6508
Miathene District Hospital,District Hospital,MoH,Meru,0.1509,37.7899
Mikinduri Sub-District Hospital,Sub-District Hospital,MoH,Meru,0.1237,37.8339
Mikumbune Sub-District Hospital,Sub-District Hospital,MoH,Meru,-0.0762,37.6165
Muthara Sub-District Hospital,Sub-District Hospital,MoH,Meru,0.2236,37.7948
Mutuati Catholic Hospital,Mission Hospital,FBO,Meru,0.3813,37.9804
Mutuati Sub-District Hospital,Sub-District Hospital,MoH,Meru,0.38287,37.98086
Nyambene District Hospital,District Hospital,MoH,Meru,0.246,37.87
St Ann Hospital,Mission Hospital,FBO,Meru,-0.0383,37.6618
St Lukes Cottage Hospital,Mission Hospital,FBO,Meru,0.1191,37.56
St Theresa Kiirua Hospital,Mission Hospital,FBO,Meru,0.1278,37.5825
