name,ftype,tier,lat,lon
Nkenkasu District Hospital,District Hospital,Tier3 provincial hospital,7.31957,-1.90289
Nyinahin Government District Hospital,District Hospital,Tier3 provincial hospital,6.60115,-2.10999
Obuasi Government Hospital,Hospital,Tier3 provincial hospital,6.203494,-1.684858
Onwe SDA Hospital,Hospital,Tier3 provincial hospital,6.68001,-1.54161
St. Luke Hospital Kasei,Hospital,Tier3 provincial hospital,7.53953,-1.34637
St. Martin's  Hospital,Hospital,Tier3 provincial hospital,6.41337,-1.88154
St. Micheal Hospital,Hospital,Tier3 provincial hospital,6.55872,-1.51247
St. Patricks Hospital,Hospital,Tier3 provincial hospital,6.93135,-1.68167
St. Peters' Hospital,Hospital,Tier3 provincial hospital,6.34331,-1.66669
Suntreso Government Hospital,Hospital,Tier3 provincial hospital,6.70243,-1.64223
Tafo Government Hospital,Hospital,Tier3 provincial hospital,6.72554,-1.61317
Tepa District Hospital,District Hospital,Tier3 provincial hospital,6.99966,-2.16102
Wiamoase SDA Hospital,Hospital,Tier3 provincial hospital,6.90258,-1.43311
Ahmadiyya Muslim Hospital,Hospital,Tier3 provincial hospital,6.902987,-2.567168
Atebubu Government District Hospital,District Hospital,Tier3 provincial hospital,7.74807,-0.98197
Bechem Government District Hospital,District Hospital,Tier3 provincial hospital,7.08831,-2.02947
Bre Nye Kwa Hospital,Hospital,Tier3 provincial hospital,7.44372,-2.59325
Dormaa Presby District Hospital,District Hospital,Tier3 provincial hospital,7.27537,-2.86803
Emil Memorial Hospital,Hospital,Tier3 provincial hospital,7.73964,-2.09488
Goaso District Hospital,District Hospital,Tier3 provincial hospital,6.8062,-2.52186
Holy Family Hospital,Hospital,Tier3 provincial hospital,7.59193,-1.93944
Kintampo District Hospital,District Hospital,Tier3 provincial hospital,8.05098,-1.7312
Kwame Danso Hospital,Hospital,Tier3 provincial hospital,7.728022,-0.677285
Mathias Hospital,Hospital,Tier3 provincial hospital,8.2157,-0.6771
Opoku Agyeman Hospital,Hospital,Tier3 provincial hospital,7.56288,-1.93692
Sampa District Hospital,District Hospital,Tier3 provincial hospital,7.95085,-2.695
Sene District Hospital,District Hospital,Tier3 provincial hospital,7.73115,-0.68588
St. Elizabeth Hospital,Hospital,Tier3 provincial hospital,6.93279,-2.35805
St. John of God Hospital,Hospital,Tier3 provincial hospital,7.17559,-2.0967
Sunyani Municipal Hospital,Municipal Hospital,Tier3 provincial hospital,7.33817,-2.32858
Sunyani Regional Hospital,Regional Hospital,Tier3 provincial hospital,7.3446,-2.3142
Sunyani SDA Hospital,Hospital,Tier3 provincial hospital,7.333948,-2.347842
Wencgi Methodist Hospital,Hospital,Tier3 provincial hospital,7.73854,-2.111
Abura Dunkwa District Hospital,District Hospital,Tier3 provincial hospital,5.34485,-1.17108
Agona Swedru Govermnt District Hospital,District Hospital,Tier3 provincial hospital,5.53532,-0.6926
Ahmadiyya Muslim Hospital,Hospital,Tier3 provincial hospital,5.53852,-0.69956
Ajumako District Hospital,District Hospital,Tier3 provincial hospital,5.4237,-0.95484
Apam Catholic Hospital,Hospital,Tier3 provincial hospital,5.28142,-0.73909
Baptist Hospital,Hospital,Tier3 provincial hospital,5.335586,-0.621467
Cape Coast Metropolitan Hospital,Municipal Hospital,Tier3 provincial hospital,5.10247,-1.25902
Central Regional Hospital,Regional Hospital,Tier3 provincial hospital,5.1332,-1.26603
Dunkwa District Hospital,District Hospital,Tier3 provincial hospital,5.96243,-1.77927
Our Lady of Grace Hospital,Hospital,Tier3 provincial hospital,5.58063,-0.99655
Praso District Hospital,District Hospital,Tier3 provincial hospital,5.61089,-1.54928
Saltpond Government District Hospital,District Hospital,Tier3 provincial hospital,5.2045,-1.05614
St. Francis Xavier District Hospital,District Hospital,Tier3 provincial hospital,5.6996,-1.28136
University of Cape Coast Hospital,Hospital,Tier3 provincial hospital,5.10537,-1.28298
Winneba Government District Hospital,District Hospital,Tier3 provincial hospital,5.34374,-0.6229
Adoagire Hospital,Hospital,Tier3 provincial hospital,5.82287,-0.36002
Akim Oda District Hospital,District Hospital,Tier3 provincial hospital,5.92785,-0.98527
Akuse Government Hospital,Hospital,Tier3 provincial hospital,6.09765,0.125167
Asamankese Government District Hospital,District Hospital,Tier3 provincial hospital,5.85455,-0.67891
Asesewa Hospital,Hospital,Tier3 provincial hospital,6.40154,-0.14682
Atibie Government District Hospital,District Hospital,Tier3 provincial hospital,6.58119,-0.73417
Atua Government District Hospital,District Hospital,Tier3 provincial hospital,6.119267,-0.00193
Begoro District Hospital,District Hospital,Tier3 provincial hospital,6.39813,-0.36885
Donkorkrom Presby District Hospital,District Hospital,Tier3 provincial hospital,7.04888,-0.07725
Enyiresi District Hospital,District Hospital,Tier3 provincial hospital,6.43727,-0.58676
Holy Family District Hospital,District Hospital,Tier3 provincial hospital,6.47555,-0.77237
Kade District Hospital,District Hospital,Tier3 provincial hospital,6.27345,-0.992983
Koforidua Regional Hospital,Regional Hospital,Tier3 provincial hospital,6.09664,-0.25719
Kyebi Government District Hospital,District Hospital,Tier3 provincial hospital,6.16775,-0.55446
New Abirem District Hospital,District Hospital,Tier3 provincial hospital,6.33577,-0.99725
Nsawam District Hospital,District Hospital,Tier3 provincial hospital,5.81045,-0.33749
St Josephs Hospital,Hospital,Tier3 provincial hospital,6.11547,-0.24288
St Martins Hospital,Hospital,Tier3 provincial hospital,6.14498,-0.01469
St. Dominic Hospital,Hospital,Tier3 provincial hospital,6.04714,-0.79787
Suhum Government District Hospital,District Hospital,Tier3 provincial hospital,6.0373,-0.44543
Tafo Governmentt Hospital,Hospital,Tier3 provincial hospital,6.23163,-0.3662
Tetteh Quarshie Memorial District Hospital,District Hospital,Tier3 provincial hospital,5.92163,-0.13319
Achimota Hospital,Hospital,Tier3 provincial hospital,5.609531,-0.228106
Achimota Hospital,Hospital,Tier3 provincial hospital,5.62922,-0.21476
Adabraka Polyclinic,Polyclinic,Tier4 central hospital,5.56129,-0.20477
Christian Medical Centre,Hospital,Tier3 provincial hospital,5.60656,-0.07769
Dangme East District Hospital,District Hospital,Tier3 provincial hospital,5.88888,0.56949
Kaneshie Polyclinic,Polyclinic,Tier4 central hospital,5.57446,-0.23074
Korle-Bu Polyclinic,Teaching Hospital,Tier3 provincial hospital,5.535355,-0.22929
Korle-Gonno Polyclinic,Polyclinic,Tier4 central hospital,5.53736,-0.22312
La General Hospital,General Hospital,Tier4 central hospital,5.5554,-0.1666
Maamobi Polyclinic,Polyclinic,Tier4 central hospital,5.59184,-0.19929
Mamprobi Polyclinic,Polyclinic,Tier4 central hospital,5.53807,-0.24556
Manna Mission Hospital,Hospital,Tier3 provincial hospital,5.60706,-0.10872
Pantang Hospital,Hospital,Tier3 provincial hospital,5.71511,-0.18802
Princess Marie Louis (PML) Hospital,Hospital,Tier3 provincial hospital,5.5446,-0.21302
Ridge Hospital,Hospital,Tier3 provincial hospital,5.56238,-0.1987
Tema General Hospital,General Hospital,Tier4 central hospital,5.67387,-0.02496
Tema Polyclinic,Polyclinic,Tier4 central hospital,5.63556,-0.00667
Ussher Polyclinic,Polyclinic,Tier4 central hospital,5.54038,-0.21294
Baptist Medical Centre District Hospital,District Hospital,Tier3 provincial hospital,10.51973,-0.36573
Bimbilla  District Hospital,District Hospital,Tier3 provincial hospital,8.85756,-0.05562
Binde  Rural  Hospital,Hospital,Tier3 provincial hospital,10.56562,-0.02876
Bole District Hospital,District Hospital,Tier3 provincial hospital,9.0276,-2.49736
Damongo District Hospital,District Hospital,Tier3 provincial hospital,9.06302,-1.79872
Gushegu  District Hospital,District Hospital,Tier3 provincial hospital,9.92814,-0.21489
Gushegu Hospital,Hospital,Tier3 provincial hospital,9.921227,-0.217964
Oti River Hospital,Hospital,Tier3 provincial hospital,8.4505,-0.07582
Saboba Medical Centre,Hospital,Tier3 provincial hospital,9.70965,0.31924
Salaga  District Hospital,District Hospital,Tier3 provincial hospital,8.55733,-0.51437
Savelugu  District Hospital,District Hospital,Tier3 provincial hospital,9.61862,-0.82929
Savelugu  Hospital,Hospital,Tier3 provincial hospital,9.624722,-0.827778
Tamale Central  Hospital,Teaching Hospital,Tier3 provincial hospital,9.24188,-0.50141
Tamale SDA Hospital,Hospital,Tier3 provincial hospital,9.39974,-0.8318
Tamale West District Hospital,District Hospital,Tier3 provincial hospital,9.40046,-0.8503
Walewale  District Hospital,District Hospital,Tier3 provincial hospital,10.34633,-0.80854
