shapeName,region,pop
Weija Gbawe Municipal,Greater Accra,0.0
Krowor Municipal,Greater Accra,0.0
Tema Metropolitan,Greater Accra,0.0
East Gonja Municipal,Savannah,39417.37109105007
Ablekuma West Municipal,Greater Accra,0.0
Ayawaso Central Municipal,Greater Accra,0.0
Accra Metropolis,Greater Accra,0.0
Anloga,Volta,53454.06523229406
Sekondi Takoradi Metropolis,Western,1090899.6477698858
Kwahu South,Eastern,88188.02000558765
Asene Akroso Manso,Eastern,74850.1379991628
Upper Manya,Eastern,80159.73106442337
Achiase,Eastern,126206.93608837186
Okere,Eastern,0.0
Yilo Krobo,Eastern,266179.75590383564
Atiwa West,Eastern,115548.38235931004
New Juaben North Municipal,Eastern,0.0
Fanteakwa North,Eastern,58415.49337512287
Birim North,Eastern,52978.95942448895
Asuogyaman,Eastern,107357.21157615377
Kwahu East,Eastern,85436.33072390645
Kwahu West,Eastern,35425.40214357076
Lower Manya,Eastern,73728.7409128217
Nsawam Adoagyiri,Eastern,151140.59717312295
Akwapem South,Eastern,239895.12184950552
Denkyembour,Eastern,54956.58809077409
Kwaebibirem,Eastern,74259.76546699023
Kwahu Afram Plains South,Eastern,195272.52381289794
Kwahu Afram Plains North,Eastern,146571.55572422245
Suhum Municipal,Eastern,94092.2563577999
Ayensuano,Eastern,94666.06146411465
Abuakwa South,Eastern,71138.92510047628
Upper West Akim,Eastern,96289.43193402751
West Akim,Eastern,139375.76282201833
Akyem Mansa,Eastern,34756.19403332834
Atiwa East,Eastern,77862.49389385198
New Juaben South Municipal,Eastern,0.0
Birim South,Eastern,32806.06975786419
Abuakwa North,Eastern,83008.78990485039
Akwapem North,Eastern,59612.47278295528
Fanteakwa South,Eastern,0.0
Birim Central Municipal,Eastern,115473.28825444412
