name,type,state,lat,lon
KEREBILACHI,CHC,KARNATAKA,14.149500000172113,75.89959999988189
SANTHEBENNUR,CHC,KARNATAKA,14.168600000196095,76.00880000082849
BHARAMANNANAYAKANADURGA,CHC,KARNATAKA,14.181199999852964,76.13160000020495
L.R.Pally,CHC,ANDHRA PRADESH,14.185830000245993,78.69851699976837
Rapur,CHC,ANDHRA PRADESH,14.19981500036874,79.53364800007671
TIRUMANI,CHC,KARNATAKA,14.237999999773962,77.43830000002913
PARASHURAMPURA,CHC,KARNATAKA,14.25370000035335,76.88329999994168
Y.N.HOSAKOTE,CHC,KARNATAKA,14.279900000120378,77.174499999771
SIRIGERE,CHC,KARNATAKA,14.28529999980206,76.20479999997077
BHARAMASAGARA,CHC,KARNATAKA,14.371499999984376,76.19079999971119
SHIRALAKOPPA,CHC,KARNATAKA,14.379299999923289,75.26570000000639
MASUR,CHC,KARNATAKA,14.379900000425703,75.45850000068063
Podalakur,CHC,ANDHRA PRADESH,14.384089999909504,79.73240699944267
RATTIHALLI,CHC,KARNATAKA,14.422200000757163,75.50630000014236
Sidhout,CHC,ANDHRA PRADESH,14.473861999883166,78.96841799990676
Kovur,CHC,ANDHRA PRADESH,14.501207999428638,79.98812799939643
Buchi,CHC,ANDHRA PRADESH,14.532321000048295,79.88140399971462
Chennur,CHC,ANDHRA PRADESH,14.562820000077595,78.80194900002233
ANAVATTI,CHC,KARNATAKA,14.565200000344404,75.15079999993583
Kamalapuram,CHC,ANDHRA PRADESH,14.599640000207458,78.67285200004874
TELAGI,CHC,KARNATAKA,14.657600000522406,75.89040000001931
ARASIKERE,CHC,KARNATAKA,14.668899999811307,76.07140000061595
Allur,CHC,ANDHRA PRADESH,14.685326999631332,80.05488900007151
C.J.HALLI,CHC,KARNATAKA,14.720900000203995,76.49049999979435
PALA,CHC,KARNATAKA,14.796800000336557,75.04290000044422
Singanamala,CHC,ANDHRA PRADESH,14.799999999923484,77.71669999969814
Kanekal,CHC,ANDHRA PRADESH,14.809323000304,77.06939799996285
Vinjamur,CHC,ANDHRA PRADESH,14.833299999567105,79.58329999956587
RAMPURA,CHC,KARNATAKA,14.882900000529707,76.7824000001307
Uravakonda,CHC,ANDHRA PRADESH,14.94603800009139,77.26048399980364
Korukonda,CHC,ORISSA,18.278660000547973,81.9814600000977
Madnoor,CHC,TELANGANA,18.50569700040892,77.62487800044929
Liliya,CHC,GUJARAT,21.53816879012318,71.36014213047406
Sagbara,CHC,GUJARAT,21.541328090297423,73.79397643001408
Akkalkuwa,CHC,MAHARASHTRA,21.549999999791822,74.01000000080691
Bhesan,CHC,GUJARAT,21.55741999995047,70.70263299996678
Valia,CHC,GUJARAT,21.57313999969854,73.15958900067214
Hansot,CHC,GUJARAT,21.582830209992167,72.81309463993499
Koliyak,CHC,GUJARAT,21.612649239691034,72.26839892970574
Dediyapada,CHC,GUJARAT,21.627600989260717,73.59364492974326
Kukavav,CHC,GUJARAT,21.632906940013083,70.98309457931391
ITAGI,CHC,KARNATAKA,14.952700000253884,76.09660000000518
Porumamilla,CHC,ANDHRA PRADESH,14.995103999930588,78.98820799970194
ROOPANAGUDI,CHC,KARNATAKA,15.049600000135264,77.06290000042253
Pamur,CHC,ANDHRA PRADESH,15.096035000351042,79.41130700028457
HAMPASAGARA,CHC,KARNATAKA,15.123300000123937,76.03549999989264
THORANAGALLU,CHC,KARNATAKA,15.197099999807072,76.67609999987312
UFWC Kandukuru,CHC,ANDHRA PRADESH,15.217028000271426,79.90409799949849
MOKA,CHC,KARNATAKA,15.235800000097097,77.05099999988751
MUNIRABAD,CHC,KARNATAKA,15.278300000226428,76.32609999967231
FRU HIRESINDOGI,CHC,KARNATAKA,15.297100000497943,76.09290000014836
Banaganapally,CHC,ANDHRA PRADESH,15.3181030006194,78.22554499976366
Alur,CHC,ANDHRA PRADESH,15.394307999934057,77.22666500033486
Pathikonda,CHC,ANDHRA PRADESH,15.396817999685986,77.50071900006664
Ganoda,CHC,RAJASTHAN,23.76576799975589,74.25979100058463
SRIRAMNAGAR,CHC,KARNATAKA,15.502000000316958,76.59420000073524
Panyam,CHC,ANDHRA PRADESH,15.51670000009522,78.35000000042237
MANGALORE,CHC,KARNATAKA,15.518400000250766,76.1510000000128
Podili,CHC,ANDHRA PRADESH,15.607035000233136,79.61462700057123
H.VANKALAKUNTA,CHC,KARNATAKA,15.63789999966964,76.22729999958585
Orvakal,CHC,ANDHRA PRADESH,15.683194000292104,78.17449200033381
Velugodu,CHC,ANDHRA PRADESH,15.71831199982131,78.57460199978317
BELWADI,CHC,KARNATAKA,15.718699999785542,74.9193000001033
Dodamarg,CHC,MAHARASHTRA,15.76099999993664,74.0908999998621
Darsi,CHC,ANDHRA PRADESH,15.769996000716803,79.67944699973381
HIREBAGEWADI,CHC,KARNATAKA,15.775200000554028,74.6389000002689
NAGANUR,CHC,KARNATAKA,15.842600000774333,74.7863999994424
Alampur,CHC,TELANGANA,15.879926000777242,78.13426100064018
Chandgad,CHC,MAHARASHTRA,15.947288899472165,74.18857999931691
YARAGATTI,CHC,KARNATAKA,15.965300000380028,75.02359999929718
Martur,CHC,ANDHRA PRADESH,15.993842999651058,80.10377199945665
Nagaram,CHC,ANDHRA PRADESH,16.004444000149395,80.72444400044802
Kudal,CHC,MAHARASHTRA,16.007411999887196,73.68674000075151
AH Avanigadda,CHC,ANDHRA PRADESH,16.021427000565428,80.91594399966728
Pendurkatta,CHC,MAHARASHTRA,16.08303600070542,73.62022200064897
Malwan,CHC,MAHARASHTRA,16.087805000389466,73.47471500017157
Challapalli,CHC,ANDHRA PRADESH,16.11481700001695,80.92906799969266
ANNAHOSUR,CHC,KARNATAKA,16.153699999625367,76.40039999997829
HOSAKOTI,CHC,KARNATAKA,16.164100000084744,75.26670000008909
KUNDALASANGAMA,CHC,KARNATAKA,16.19929999977828,76.04850000006948
Murgud,CHC,MAHARASHTRA,16.234910000270787,74.11261600020283
Radhanagari,CHC,MAHARASHTRA,16.24438399990666,73.59429900028816
Solankur,CHC,MAHARASHTRA,16.245642999991368,74.25449999991795
